slice,window,n,years,meanProbabilityA,observedWinRateA,calibrationResidualA,meanFavoriteProbability,accuracy,favoriteResidual,favoriteResidualNaiveSE,logloss,brier,lossContribution
"player_a_probability:[0.1,0.2)",2016,152,1,0.1594897876623115,0.17763157894736842,0.018141791285056916,0.8405102123376885,0.8223684210526315,-0.018141791285056916,0.031059684166847783,0.4672361314163604,0.1459994256532251,0.0026505893847610204
"player_a_probability:[0.1,0.2)",2017,145,1,0.15513107694160042,0.1724137931034483,0.017282716161847858,0.8448689230583996,0.8275862068965517,-0.017282716161847858,0.031387102481636675,0.45830671564246805,0.14216032139368887,0.0024801998122026526
"player_a_probability:[0.1,0.2)",2018,159,1,0.15094518067975154,0.1320754716981132,-0.01886970898163832,0.8490548193202483,0.8679245283018868,0.01886970898163832,0.027004455320017377,0.3937662439472588,0.11557608184372047,0.0023366736130332965
"player_a_probability:[0.1,0.2)",2019,140,1,0.1554402260190559,0.14285714285714285,-0.012583083161913068,0.8445597739809441,0.8571428571428571,0.012583083161913068,0.029331810901582028,0.3995659261586145,0.11974769715835672,0.002087752096073973
"player_a_probability:[0.2,0.3)",tune,2749,10,0.2529732530986457,0.24772644598035648,-0.005246807118289214,0.7470267469013544,0.7522735540196435,0.005246807118289214,0.008207269063863229,0.5564693515353608,0.18513079054224085,0.05709241798054441
"player_a_probability:[0.2,0.3)",2010,298,1,0.25427320589071023,0.2550335570469799,0.0007603511562696388,0.7457267941092897,0.7449664429530202,-0.0007603511562696388,0.025175448753776853,0.5631041705418062,0.18824013446023202,0.006262784310720991
"player_a_probability:[0.2,0.3)",2011,276,1,0.2515338594082883,0.2391304347826087,-0.012403424625679655,0.7484661405917116,0.7608695652173914,0.012403424625679655,0.025574187678166573,0.5448108989144107,0.18001459067691883,0.005611995525131647
"player_a_probability:[0.2,0.3)",2012,298,1,0.2504961924488422,0.23825503355704697,-0.012241158891795176,0.7495038075511579,0.761744966442953,0.012241158891795176,0.02462848018532356,0.545839107664097,0.1802987707339601,0.006070764129428264
"player_a_probability:[0.2,0.3)",2013,295,1,0.2516278150834148,0.26101694915254237,0.00938913406912756,0.7483721849165852,0.7389830508474576,-0.00938913406912756,0.025600795391267275,0.5738607896295317,0.19277596889023432,0.006318165743849811
"player_a_probability:[0.2,0.3)",2014,277,1,0.25377865713359515,0.26714801444043323,0.01336935730683809,0.7462213428664048,0.7328519855595668,-0.01336935730683809,0.026698796621404893,0.5833490148552655,0.19691864423939293,0.006030741103042044
"player_a_probability:[0.2,0.3)",2015,234,1,0.2515891605552082,0.24786324786324787,-0.0037259126919603042,0.748410839444792,0.7521367521367521,0.0037259126919603042,0.028266873723303367,0.5592764459832886,0.18618464539616666,0.004884328146603326
"player_a_probability:[0.2,0.3)",2016,279,1,0.25356264894263436,0.22580645161290322,-0.02775619732973109,0.7464373510573657,0.7741935483870968,0.02775619732973109,0.024886661141463155,0.5288066172253911,0.17294856746027035,0.00550634642852445
"player_a_probability:[0.2,0.3)",2017,264,1,0.25246193055105326,0.24621212121212122,-0.006249809338932046,0.7475380694489467,0.7537878787878788,0.006249809338932046,0.026586796755423404,0.5589331999289116,0.18594265144760566,0.005507142075883879
"player_a_probability:[0.2,0.3)",2018,265,1,0.2540952974267701,0.2528301886792453,-0.0012651087475248346,0.7459047025732298,0.7471698113207547,0.0012651087475248346,0.026437129258257506,0.5537886081012142,0.18451695660244627,0.005477121040039627
"player_a_probability:[0.2,0.3)",2019,263,1,0.256467328069216,0.24334600760456274,-0.013121320464653282,0.743532671930784,0.7566539923954373,0.013121320464653282,0.026434288337309927,0.5524891704004641,0.1832503282245465,0.005423029477320372
"player_a_probability:[0.3,0.4)",tune,3616,10,0.3514805101602592,0.34430309734513276,-0.007177412815126454,0.6485194898397408,0.6556969026548672,0.007177412815126454,0.00788797946837239,0.6421366285916186,0.22497761089259244,0.08665992569184491
"player_a_probability:[0.3,0.4)",2010,359,1,0.3522822011754458,0.35376044568245124,0.0014782445070054874,0.6477177988245542,0.6462395543175488,-0.0014782445070054874,0.025228167948908135,0.648062056640458,0.22785502919169948,0.008683073760316655
"player_a_probability:[0.3,0.4)",2011,366,1,0.35142641057086604,0.36065573770491804,0.009229327134051942,0.6485735894291339,0.639344262295082,-0.009229327134051942,0.025046222752580113,0.6504871616062722,0.2290545255520769,0.00888550799238246
"player_a_probability:[0.3,0.4)",2012,394,1,0.34963781507114927,0.3197969543147208,-0.029840860756428497,0.6503621849288508,0.6802030456852792,0.029840860756428497,0.023485076844834724,0.6270055606762777,0.2176491688929469,0.009219981746154116
"player_a_probability:[0.3,0.4)",2013,335,1,0.3509574647064226,0.32238805970149254,-0.028569405004930052,0.6490425352935774,0.6776119402985075,0.028569405004930052,0.025489627686595327,0.6272398703734237,0.21782306484915226,0.007842254108199482
"player_a_probability:[0.3,0.4)",2014,352,1,0.350444885130967,0.375,0.024555114869033005,0.649555114869033,0.625,-0.024555114869033005,0.02582143482934288,0.6622001897360675,0.234630973988978,0.008699502380648495
"player_a_probability:[0.3,0.4)",2015,350,1,0.35147514646027317,0.37714285714285717,0.025667710682584013,0.6485248535397269,0.6228571428571429,-0.025667710682584013,0.025786925109409827,0.6578597800418695,0.23273179317449538,0.008593376241496392
"player_a_probability:[0.3,0.4)",2016,381,1,0.3519753885843975,0.30446194225721784,-0.04751344632717963,0.6480246114156025,0.6955380577427821,0.04751344632717963,0.023619521972618036,0.6200861600791484,0.21425261850358052,0.0088173780320279
"player_a_probability:[0.3,0.4)",2017,350,1,0.3509978007408201,0.35714285714285715,0.006145056402037076,0.6490021992591799,0.6428571428571429,-0.006145056402037076,0.025639523386071277,0.6514642171210782,0.22946518237143296,0.008509833395251822
"player_a_probability:[0.3,0.4)",2018,379,1,0.35230643362374897,0.3641160949868074,0.011809661363058435,0.647693566376251,0.6358839050131926,-0.011809661363058435,0.024781162417911565,0.6574175079811666,0.232271540177451,0.009299142924716808
"player_a_probability:[0.3,0.4)",2019,350,1,0.35338630272386157,0.31142857142857144,-0.04195773129529017,0.6466136972761384,0.6885714285714286,0.04195773129529017,0.024700293789772634,0.6208456963279346,0.214686926357525,0.008109875110650784
"player_a_probability:[0.4,0.5)",tune,4059,10,0.45052540536983754,0.46809559004680956,0.017570184676972068,0.5494745946301625,0.5319044099531904,-0.017570184676972068,0.007827428930677076,0.6910360043138681,0.24893686738134324,0.10468444955997577
"player_a_probability:[0.4,0.5)",2010,345,1,0.4482210230768283,0.4463768115942029,-0.0018442114826253608,0.5517789769231717,0.553623188405797,0.0018442114826253608,0.02668740028028833,0.6830881439877683,0.24500616391578742,0.008795454567282977
"player_a_probability:[0.4,0.5)",2011,350,1,0.4479100900084175,0.44,-0.00791009000841754,0.5520899099915824,0.56,0.00791009000841754,0.026762762981940993,0.6932681880440698,0.25003224289115655,0.00905590303110489
"player_a_probability:[0.4,0.5)",2012,428,1,0.45156465589940753,0.46261682242990654,0.011052166530499017,0.5484353441005925,0.5373831775700935,-0.011052166530499017,0.024074124165630654,0.6883214410386412,0.24759574538913803,0.010995057728018901
"player_a_probability:[0.4,0.5)",2013,355,1,0.4523573095686666,0.504225352112676,0.05186804254400942,0.5476426904313334,0.49577464788732395,-0.05186804254400942,0.026426934594212366,0.6930061820146829,0.24991783054190675,0.00918180169497695
"player_a_probability:[0.4,0.5)",2014,355,1,0.45397731053595575,0.4676056338028169,0.013628323266861185,0.5460226894640443,0.532394366197183,-0.013628323266861185,0.026641167189346546,0.6960889853314945,0.2514378645756592,0.009222646480282174
