signal,year,band,n,meanFeature,predicted,observed,residual,moment,momentSE
surface_recent_diff,2014,all,2611,0.040278939805058686,0.5038558577857227,0.5170432784373803,0.013187420651657558,0.0006415498676572767,0.0069734277779664
surface_recent_diff,2014,zero,520,0.0,0.49912276310003684,0.5096153846153846,0.010492621515347805,0.0,0.0
surface_recent_diff,2014,"[-1000000000.0,-0.6931471805599453)",390,-1.2860743589586574,0.3188128971030421,0.3153846153846154,-0.0034282817184267205,0.005701770997251331,0.029740002712750555
surface_recent_diff,2014,"[-0.6931471805599453,0)",595,-0.4035161345492088,0.42980953897623564,0.453781512605042,0.023971973628806344,-0.008447809378065503,0.00868072099042815
surface_recent_diff,2014,"[0,0.6931471805599453)",571,0.3698140431921682,0.5623497165212151,0.5779334500875657,0.015583733566350585,0.002171554925442987,0.007800424213572158
surface_recent_diff,2014,"[0.6931471805599453,1000000000.0)",535,1.1881599873251136,0.6632680638726027,0.6766355140186916,0.01336745014608878,0.0060521209963479644,0.022966879115359804
surface_recent_diff,2015,all,2547,0.062357791231704596,0.5029261553010687,0.5072634471927758,0.00433729189170719,0.007136958787748691,0.006642062654501628
surface_recent_diff,2015,zero,563,0.0,0.5007974223298551,0.47424511545293074,-0.026552306876924472,0.0,0.0
surface_recent_diff,2015,"[-1000000000.0,-0.6931471805599453)",306,-1.2800097488352633,0.3294828091776749,0.34967320261437906,0.020190393436704143,-0.025814785478029185,0.03325258598678681
surface_recent_diff,2015,"[-0.6931471805599453,0)",610,-0.4212338951371871,0.4428467090023694,0.44426229508196724,0.0014155860795979284,0.004778324954212122,0.008709082008881076
surface_recent_diff,2015,"[0,0.6931471805599453)",552,0.36121164525747756,0.5494256987099658,0.5561594202898551,0.006733721579889122,0.0020974149054509006,0.007603674706895027
surface_recent_diff,2015,"[0.6931471805599453,1000000000.0)",516,1.1784343512835245,0.6293851763418572,0.6589147286821705,0.02952955234031337,0.04264458747828402,0.02263042578994154
surface_recent_diff,2016,all,2812,0.012620557940051983,0.5134959055448908,0.5106685633001422,-0.002827342244748564,0.018026333743191545,0.0062744690509914
